episode,wining or draw rate,wining rate
0,0.4618,0.4618
100,0.4465,0.44186
200,0.44816,0.43632
300,0.43708,0.42292
400,0.44244,0.4286
500,0.44858,0.43006
600,0.4424,0.42378
700,0.43722,0.41852
800,0.45018,0.43084
900,0.43362,0.41462
1000,0.43704,0.41716
1100,0.4431,0.42364
1200,0.44838,0.42788
1300,0.44374,0.42618
1400,0.44182,0.42404
1500,0.4434,0.42644
1600,0.43996,0.42356
1700,0.44742,0.43116
1800,0.43866,0.42406
1900,0.45212,0.43584
2000,0.4482,0.43214
2100,0.44538,0.43012
2200,0.45072,0.43666
2300,0.46164,0.4453
2400,0.45336,0.43738
2500,0.45534,0.43748
2600,0.45694,0.4402
2700,0.46128,0.44604
2800,0.46174,0.44686
2900,0.4641,0.44756
3000,0.46182,0.447
3100,0.45838,0.44268
3200,0.46168,0.44646
3300,0.46132,0.44672
3400,0.46312,0.44914
3500,0.46628,0.45246
3600,0.46606,0.45248
3700,0.46366,0.45044
3800,0.46674,0.45348
3900,0.46498,0.44992
4000,0.4578,0.44306
4100,0.46704,0.4531
4200,0.46252,0.44788
4300,0.46216,0.44838
4400,0.46274,0.44872
4500,0.46188,0.44772
4600,0.46634,0.4509
4700,0.4625,0.4485
4800,0.46704,0.44968
4900,0.46946,0.45272
5000,0.47208,0.45408
5100,0.48138,0.463
5200,0.47288,0.45758
5300,0.46796,0.45374
5400,0.47314,0.45892
5500,0.48044,0.46452
5600,0.4709,0.45316
5700,0.47,0.45298
5800,0.47228,0.45662
5900,0.47356,0.45744
6000,0.47178,0.45436
6100,0.4755,0.4602
6200,0.47604,0.45856
6300,0.47952,0.4615
6400,0.46846,0.452
6500,0.47674,0.4614
6600,0.46702,0.45054
6700,0.46804,0.45174
6800,0.46792,0.45244
6900,0.46814,0.45128
7000,0.46884,0.45276
7100,0.47258,0.45654
7200,0.47422,0.4588
7300,0.47322,0.45712
7400,0.46978,0.45316
7500,0.46714,0.44872
7600,0.47706,0.45786
7700,0.48512,0.4667
7800,0.47694,0.45884
7900,0.47106,0.45168
8000,0.47422,0.4566
8100,0.47414,0.458
