episode,wining or draw rate,wining rate
0,0.4617,0.4617
100,0.4473,0.44114
200,0.42844,0.41722
300,0.4254,0.41188
400,0.43258,0.4201
500,0.42608,0.41274
600,0.44556,0.42958
700,0.44216,0.42676
800,0.44432,0.42852
900,0.4417,0.4264
1000,0.44984,0.43388
1100,0.44442,0.42768
1200,0.4528,0.43562
1300,0.4525,0.43418
1400,0.45256,0.43632
1500,0.43984,0.42412
1600,0.4488,0.43254
1700,0.4562,0.43954
1800,0.4622,0.44518
1900,0.45416,0.43732
2000,0.45666,0.43874
2100,0.462,0.443
2200,0.45656,0.43782
2300,0.45734,0.43902
2400,0.45692,0.4393
2500,0.45878,0.44286
2600,0.46146,0.44804
2700,0.46182,0.4471
2800,0.4531,0.4385
2900,0.45342,0.43782
3000,0.45954,0.44256
3100,0.45138,0.43304
3200,0.46036,0.44046
3300,0.45708,0.43858
3400,0.45142,0.43246
3500,0.45502,0.43846
3600,0.46122,0.4397
3700,0.46054,0.43866
3800,0.4638,0.44236
3900,0.46652,0.4459
4000,0.4709,0.45012
4100,0.46972,0.44556
4200,0.47304,0.44712
4300,0.47222,0.44868
4400,0.4723,0.45074
4500,0.47476,0.4535
4600,0.4687,0.4475
4700,0.4717,0.45188
4800,0.46892,0.44982
4900,0.46006,0.43888
5000,0.46698,0.44346
5100,0.46814,0.44638
5200,0.45802,0.43678
5300,0.45784,0.43716
5400,0.45914,0.43782
5500,0.4639,0.44324
5600,0.46356,0.44266
5700,0.46638,0.44462
5800,0.468,0.44536
5900,0.46564,0.44224
6000,0.4631,0.4409
6100,0.4763,0.45276
6200,0.46938,0.44564
6300,0.46682,0.44382
6400,0.47424,0.44876
6500,0.47112,0.44572
6600,0.46564,0.44148
6700,0.4666,0.44368
6800,0.46934,0.44678
6900,0.46598,0.4436
7000,0.47296,0.45196
7100,0.47524,0.4538
7200,0.47008,0.44974
7300,0.46542,0.44542
7400,0.46758,0.44928
7500,0.46574,0.44706
7600,0.46752,0.44842
7700,0.47212,0.45032
7800,0.47048,0.45126
7900,0.47332,0.45408
8000,0.47742,0.45628
8100,0.47284,0.453
8200,0.47064,0.45126
8300,0.47018,0.4516
8400,0.46978,0.44792
8500,0.47014,0.45094
8600,0.47258,0.45064
8700,0.47594,0.45458
8800,0.4754,0.45466
8900,0.46932,0.4494
9000,0.47692,0.45316
9100,0.4738,0.45266
9200,0.48094,0.46084
9300,0.47602,0.45538
9400,0.47636,0.45466
9500,0.47384,0.45144
9600,0.4714,0.4465
9700,0.47536,0.45468
9800,0.47858,0.45726
9900,0.4726,0.45238
10000,0.46584,0.44474
10100,0.47494,0.45432
10200,0.4724,0.45076
10300,0.47142,0.4504
10400,0.47222,0.4482
10500,0.4744,0.45254
10600,0.47418,0.45372
10700,0.48112,0.45876
10800,0.47246,0.45102
10900,0.4822,0.45916
11000,0.47934,0.45894
11100,0.4777,0.45684
11200,0.48052,0.4613
11300,0.47916,0.45638
11400,0.4775,0.45544
11500,0.47652,0.45524
11600,0.47036,0.45008
11700,0.46554,0.44664
11800,0.47304,0.45328
11900,0.47562,0.45586
12000,0.47352,0.44964
12100,0.47236,0.4522
12200,0.46482,0.44516
12300,0.4689,0.44486
12400,0.47726,0.4523
12500,0.47276,0.45014
12600,0.47378,0.45024
12700,0.47308,0.44722
12800,0.4678,0.4486
12900,0.4706,0.44992
13000,0.47658,0.45496
13100,0.4765,0.45334
13200,0.47134,0.44794
13300,0.46812,0.44756
13400,0.46568,0.44292
13500,0.46722,0.44406
13600,0.4701,0.449
13700,0.47578,0.45504
13800,0.47882,0.45494
13900,0.4675,0.44508
14000,0.46338,0.4416
14100,0.46428,0.44118
14200,0.46648,0.44636
14300,0.47322,0.4502
14400,0.46864,0.44694
14500,0.47238,0.45008
14600,0.46706,0.44542
14700,0.46808,0.44708
14800,0.46572,0.44686
14900,0.47468,0.4553
15000,0.47442,0.45274
15100,0.4719,0.44946
15200,0.4794,0.45572
15300,0.47174,0.44998
