episode,wining or draw rate,wining rate
0,0.46056,0.46056
100,0.45112,0.444
200,0.44362,0.43536
300,0.4443,0.43476
400,0.45504,0.4425
500,0.44978,0.43778
600,0.44398,0.42872
700,0.44564,0.43176
800,0.44824,0.43428
900,0.44996,0.43656
1000,0.44868,0.43542
1100,0.4533,0.438
1200,0.45282,0.43846
1300,0.44762,0.4343
1400,0.4602,0.44506
1500,0.45668,0.44166
1600,0.4526,0.43894
1700,0.46094,0.44626
1800,0.46588,0.45094
1900,0.46354,0.44814
2000,0.46454,0.44954
2100,0.46024,0.44146
2200,0.47716,0.45902
2300,0.47408,0.45612
2400,0.47024,0.45236
2500,0.46972,0.45516
2600,0.47444,0.45908
2700,0.47346,0.45916
2800,0.46934,0.45368
2900,0.47182,0.45716
3000,0.47378,0.4591
3100,0.47146,0.45528
3200,0.47738,0.46074
3300,0.4733,0.45792
3400,0.46748,0.45332
3500,0.47384,0.45694
3600,0.47552,0.4581
3700,0.47926,0.46112
3800,0.47766,0.45994
3900,0.4714,0.45536
4000,0.47064,0.45264
4100,0.47482,0.45532
4200,0.47472,0.4594
4300,0.47034,0.45416
4400,0.47494,0.45642
4500,0.47956,0.46148
4600,0.47324,0.45484
4700,0.47786,0.45928
4800,0.47882,0.46278
4900,0.47644,0.45954
5000,0.476,0.46068
5100,0.48274,0.46128
5200,0.48256,0.46234
5300,0.48036,0.46332
5400,0.47818,0.45858
5500,0.47706,0.45864
5600,0.47862,0.46136
5700,0.47714,0.46074
5800,0.4761,0.46038
5900,0.47728,0.4607
6000,0.47534,0.4587
6100,0.47662,0.46124
6200,0.4697,0.45442
6300,0.47434,0.45702
6400,0.47706,0.45782
6500,0.47086,0.45246
6600,0.48154,0.46284
6700,0.47992,0.46122
6800,0.47398,0.45616
6900,0.47618,0.45986
7000,0.47718,0.46112
7100,0.47818,0.4585
7200,0.47708,0.45908
7300,0.47196,0.45602
7400,0.47828,0.46146
7500,0.47718,0.45962
7600,0.47764,0.46058
7700,0.47408,0.45874
7800,0.46986,0.45316
7900,0.47388,0.45808
8000,0.47566,0.46076
8100,0.47534,0.45806
8200,0.47638,0.46038
8300,0.477,0.45982
8400,0.47198,0.45408
8500,0.47146,0.45362
8600,0.47204,0.45416
8700,0.4784,0.46108
8800,0.47782,0.46058
8900,0.47512,0.45774
9000,0.46966,0.45446
9100,0.46872,0.45182
9200,0.46956,0.45418
9300,0.47094,0.45522
9400,0.46856,0.4534
9500,0.47062,0.45414
9600,0.4698,0.45312
9700,0.46962,0.45122
9800,0.47056,0.45458
9900,0.46632,0.45034
10000,0.4696,0.4542
10100,0.46894,0.45252
10200,0.46642,0.45188
10300,0.47034,0.45384
10400,0.4701,0.45452
10500,0.47102,0.45562
10600,0.473,0.4567
10700,0.4686,0.45244
10800,0.47172,0.45594
10900,0.47862,0.46184
11000,0.47758,0.46198
11100,0.47128,0.45382
11200,0.47216,0.45832
11300,0.47448,0.45966
11400,0.47456,0.4623
11500,0.46976,0.45612
11600,0.47508,0.46032
11700,0.47652,0.46266
11800,0.4759,0.4618
11900,0.47704,0.46202
12000,0.4729,0.45638
12100,0.47712,0.46112
12200,0.4747,0.46074
12300,0.47654,0.46042
12400,0.47756,0.46202
12500,0.47954,0.46516
12600,0.481,0.46508
12700,0.48252,0.46692
12800,0.48452,0.4684
12900,0.47772,0.46284
13000,0.48086,0.46586
13100,0.4768,0.46054
13200,0.4823,0.46558
13300,0.47548,0.4608
13400,0.4778,0.46228
13500,0.47572,0.46058
13600,0.47112,0.45588
13700,0.47844,0.4635
13800,0.47906,0.46456
13900,0.4785,0.46618
14000,0.4761,0.4602
14100,0.48066,0.46376
14200,0.4757,0.4602
14300,0.47758,0.46172
14400,0.47642,0.46084
14500,0.47764,0.46054
14600,0.47808,0.46472
14700,0.47656,0.46104
14800,0.48012,0.46476
14900,0.4817,0.46462
15000,0.4824,0.4655
15100,0.48568,0.4695
15200,0.48316,0.46844
15300,0.48042,0.46622
15400,0.47852,0.46228
15500,0.48556,0.46578
15600,0.48404,0.46568
15700,0.48474,0.46802
15800,0.48292,0.4658
15900,0.48676,0.47078
16000,0.4847,0.46746
16100,0.48346,0.46614
16200,0.4844,0.4681
16300,0.48578,0.46808
16400,0.48216,0.4667
16500,0.48636,0.46828
16600,0.48354,0.46526
16700,0.48756,0.46876
16800,0.48406,0.46686
16900,0.48066,0.46498
17000,0.47944,0.46432
17100,0.48336,0.46356
17200,0.48486,0.46672
17300,0.48166,0.46462
17400,0.48266,0.4671
17500,0.48086,0.4654
