episode,wining or draw rate,wining rate
0,0.46104,0.46104
100,0.45502,0.45014
200,0.45426,0.4464
300,0.4505,0.44128
400,0.4525,0.44212
500,0.44946,0.43838
600,0.44448,0.4324
700,0.4526,0.4408
800,0.45134,0.4399
900,0.45452,0.4415
1000,0.45626,0.4452
1100,0.46222,0.45156
1200,0.46084,0.45122
1300,0.45812,0.44796
1400,0.45938,0.44922
1500,0.45708,0.44606
1600,0.45896,0.44748
1700,0.46164,0.44976
1800,0.46372,0.45236
1900,0.46008,0.44778
2000,0.47076,0.45934
2100,0.46474,0.4532
2200,0.46702,0.45596
2300,0.46234,0.45212
2400,0.4674,0.45558
2500,0.46754,0.45424
2600,0.47058,0.45824
2700,0.4654,0.45278
2800,0.46254,0.45052
2900,0.46924,0.45774
3000,0.46724,0.4547
3100,0.47264,0.45954
3200,0.47574,0.46074
3300,0.4666,0.4527
3400,0.46512,0.45136
3500,0.4664,0.4522
3600,0.46878,0.45372
3700,0.46888,0.4549
3800,0.46642,0.45252
3900,0.4704,0.457
4000,0.46396,0.45076
4100,0.46566,0.45364
4200,0.46672,0.45558
4300,0.46842,0.4562
4400,0.47336,0.46188
4500,0.47606,0.4636
4600,0.47454,0.46188
4700,0.47218,0.45988
4800,0.4748,0.46124
4900,0.46966,0.45698
5000,0.47174,0.4593
5100,0.47004,0.4588
5200,0.46598,0.45432
5300,0.46788,0.455
5400,0.46774,0.45616
5500,0.46516,0.45362
5600,0.47076,0.46004
5700,0.46862,0.45682
5800,0.4693,0.45848
5900,0.4742,0.46346
6000,0.47294,0.46132
6100,0.47754,0.46616
6200,0.47064,0.45748
6300,0.47472,0.4627
6400,0.47118,0.45894
6500,0.47372,0.463
6600,0.46582,0.45374
6700,0.47382,0.46186
6800,0.47166,0.46116
6900,0.47176,0.4603
7000,0.47396,0.46266
7100,0.46894,0.45728
7200,0.47174,0.45996
7300,0.47086,0.4594
7400,0.46866,0.45766
7500,0.46736,0.4568
7600,0.46908,0.45786
7700,0.47194,0.46066
7800,0.46816,0.45806
7900,0.47236,0.46204
8000,0.47448,0.4628
8100,0.4682,0.4584
8200,0.47214,0.4618
8300,0.46944,0.45898
8400,0.46668,0.45654
8500,0.46788,0.4576
8600,0.47304,0.46362
8700,0.46748,0.45732
8800,0.47558,0.4644
8900,0.4726,0.4626
9000,0.47478,0.46394
9100,0.47238,0.46096
9200,0.46712,0.4568
9300,0.47604,0.4632
9400,0.47244,0.4608
9500,0.47456,0.46314
9600,0.4726,0.46222
9700,0.4757,0.46452
9800,0.47492,0.4636
9900,0.47208,0.4608
10000,0.47732,0.466
10100,0.47566,0.4643
10200,0.47106,0.4602
10300,0.47338,0.46266
10400,0.47132,0.46036
10500,0.46984,0.45912
10600,0.47406,0.46142
10700,0.47708,0.46478
10800,0.4775,0.4662
10900,0.4747,0.46248
11000,0.47682,0.46408
11100,0.47594,0.46514
11200,0.4721,0.46084
11300,0.47394,0.46464
