episode,wining or draw rate,wining rate
0,0.46506,0.46506
100,0.45348,0.44306
200,0.44044,0.42688
300,0.43966,0.42432
400,0.42972,0.41228
500,0.44286,0.42688
600,0.45132,0.43162
700,0.45666,0.43924
800,0.44708,0.43374
900,0.45228,0.43758
1000,0.45034,0.4386
1100,0.44404,0.43428
1200,0.44322,0.4312
1300,0.455,0.44058
1400,0.45662,0.43856
1500,0.4512,0.43818
1600,0.4562,0.44082
1700,0.4613,0.44814
1800,0.45996,0.4476
1900,0.45146,0.4407
2000,0.44678,0.43668
2100,0.44862,0.43852
2200,0.4567,0.4448
2300,0.45222,0.4426
2400,0.45684,0.44434
2500,0.45788,0.4436
2600,0.46004,0.44438
2700,0.46644,0.45274
2800,0.46708,0.4521
2900,0.4748,0.45868
3000,0.469,0.45364
3100,0.46778,0.45092
3200,0.46916,0.4547
3300,0.47254,0.45414
3400,0.47306,0.45558
3500,0.46898,0.45416
3600,0.46294,0.44934
3700,0.4647,0.45126
3800,0.47444,0.45526
3900,0.47148,0.45564
4000,0.47514,0.45988
4100,0.47246,0.45774
4200,0.4674,0.4536
4300,0.46648,0.4517
4400,0.47464,0.4609
4500,0.47718,0.46318
4600,0.47318,0.4582
4700,0.47398,0.46178
4800,0.46776,0.4545
4900,0.46898,0.4535
5000,0.47066,0.458
5100,0.46778,0.45452
5200,0.4678,0.45634
5300,0.46696,0.45288
5400,0.46272,0.4516
5500,0.46888,0.4544
5600,0.47226,0.45596
5700,0.47258,0.45722
5800,0.47268,0.45612
5900,0.46302,0.44904
6000,0.47192,0.45668
6100,0.46852,0.45246
6200,0.46686,0.44956
6300,0.47736,0.46166
6400,0.47206,0.45802
6500,0.4695,0.45554
6600,0.4749,0.46058
6700,0.4714,0.45532
6800,0.47164,0.45502
6900,0.46926,0.45496
7000,0.46316,0.44858
7100,0.4673,0.4512
7200,0.47316,0.45596
7300,0.46766,0.45428
7400,0.46888,0.45612
7500,0.4703,0.45772
7600,0.47656,0.46264
7700,0.47712,0.4635
7800,0.47448,0.4599
7900,0.47616,0.46158
8000,0.46962,0.45766
8100,0.47178,0.4599
8200,0.4746,0.46016
8300,0.47084,0.4563
8400,0.4753,0.46224
8500,0.47272,0.45898
8600,0.4737,0.45888
8700,0.47512,0.45936
8800,0.47218,0.4572
8900,0.47156,0.4586
9000,0.47376,0.45906
9100,0.47476,0.46064
9200,0.47714,0.4617
9300,0.47726,0.46032
9400,0.47186,0.45566
9500,0.47654,0.46148
9600,0.47632,0.45836
9700,0.4771,0.4587
9800,0.4742,0.45738
9900,0.47876,0.45968
10000,0.46778,0.4534
10100,0.47592,0.46034
10200,0.4821,0.46638
10300,0.47714,0.46214
10400,0.47586,0.45988
10500,0.47388,0.45918
10600,0.48238,0.4675
10700,0.48106,0.46506
10800,0.48046,0.46468
10900,0.47438,0.46042
11000,0.48298,0.46554
11100,0.4759,0.462
11200,0.4806,0.46682
11300,0.47794,0.46356
11400,0.47248,0.45768
11500,0.47476,0.46234
11600,0.47332,0.46084
11700,0.48106,0.46844
11800,0.48066,0.46678
11900,0.48388,0.46964
12000,0.48024,0.46654
12100,0.48016,0.46492
12200,0.47964,0.46576
12300,0.48,0.46158
12400,0.48356,0.46878
12500,0.4784,0.4634
12600,0.48134,0.46482
12700,0.47316,0.45936
12800,0.47314,0.45826
12900,0.47456,0.45684
13000,0.4796,0.46344
13100,0.47526,0.46334
13200,0.48044,0.46574
13300,0.4836,0.46618
13400,0.48014,0.4635
13500,0.4855,0.46898
13600,0.48062,0.4652
13700,0.47208,0.45968
13800,0.47768,0.46452
13900,0.48012,0.46688
14000,0.47584,0.46084
14100,0.4812,0.46616
14200,0.48452,0.46682
14300,0.48374,0.46646
14400,0.48364,0.46806
14500,0.48806,0.4722
14600,0.47902,0.4604
14700,0.47708,0.46084
14800,0.48098,0.46352
14900,0.48266,0.46802
15000,0.48894,0.47066
15100,0.48964,0.47214
15200,0.48148,0.4659
15300,0.47626,0.46206
15400,0.47886,0.46434
15500,0.47568,0.46014
15600,0.47892,0.46124
15700,0.47344,0.4572
15800,0.4697,0.45494
15900,0.4705,0.4552
16000,0.4729,0.45592
16100,0.47644,0.45878
16200,0.47316,0.45718
16300,0.48058,0.4668
16400,0.4842,0.46954
16500,0.48216,0.46944
16600,0.4814,0.4661
16700,0.47756,0.4633
16800,0.47762,0.46324
16900,0.48052,0.46542
17000,0.48426,0.46578
17100,0.4842,0.46738
17200,0.4881,0.4721
17300,0.4827,0.4662
17400,0.48272,0.46504
17500,0.48094,0.46386
17600,0.47806,0.45982
17700,0.4819,0.46496
17800,0.48744,0.4686
17900,0.48128,0.4638
18000,0.4818,0.46382
18100,0.47568,0.45782
18200,0.47884,0.46384
18300,0.47818,0.46078
18400,0.47614,0.46074
18500,0.47908,0.46124
18600,0.4793,0.46364
18700,0.47508,0.46086
18800,0.47926,0.46558
18900,0.47708,0.46192
19000,0.48054,0.46392
19100,0.48134,0.46428
19200,0.47694,0.46304
19300,0.47988,0.46512
19400,0.48236,0.4644
19500,0.47908,0.46138
19600,0.4815,0.46484
19700,0.48136,0.46532
19800,0.4825,0.46512
19900,0.48402,0.46504
20000,0.48932,0.4692
20100,0.48474,0.46504
20200,0.48254,0.46284
20300,0.48396,0.46816
20400,0.47478,0.45716
20500,0.48306,0.46326
20600,0.4796,0.46286
20700,0.4803,0.46344
20800,0.4814,0.46666
20900,0.47908,0.46358
21000,0.48202,0.466
21100,0.48246,0.46778
21200,0.48252,0.46646
21300,0.48442,0.46682
21400,0.48588,0.46816
21500,0.48116,0.46552
21600,0.48144,0.4647
21700,0.48478,0.46718
21800,0.48238,0.46668
21900,0.48424,0.46888
22000,0.48372,0.46496
22100,0.48546,0.46792
22200,0.48312,0.46746
22300,0.48664,0.47024
22400,0.48336,0.46716
22500,0.48428,0.46724
22600,0.48084,0.46406
22700,0.4802,0.464
