episode,wining or draw rate,wining rate
0,0.46074,0.46074
100,0.4354,0.43082
200,0.44366,0.43188
300,0.43966,0.42384
400,0.43878,0.4259
500,0.43264,0.41898
600,0.43172,0.42108
700,0.44284,0.42924
800,0.4467,0.43334
900,0.4406,0.42816
1000,0.45186,0.43788
1100,0.4462,0.43186
1200,0.4498,0.43692
1300,0.4569,0.44446
1400,0.45444,0.4427
1500,0.4611,0.4492
1600,0.45728,0.44498
1700,0.4643,0.4501
1800,0.46814,0.4544
1900,0.46506,0.45104
2000,0.46774,0.45516
2100,0.46356,0.45218
2200,0.46514,0.455
2300,0.4725,0.4618
2400,0.47496,0.46152
2500,0.47746,0.46548
2600,0.47608,0.46308
2700,0.47442,0.4611
2800,0.46284,0.44636
2900,0.47438,0.45756
3000,0.47828,0.46352
3100,0.47548,0.46344
3200,0.4755,0.46174
3300,0.46914,0.45262
3400,0.47548,0.46106
3500,0.4626,0.45242
3600,0.46862,0.45766
3700,0.46902,0.4576
3800,0.4724,0.4602
3900,0.47214,0.45996
4000,0.47308,0.46034
4100,0.47054,0.45688
4200,0.47268,0.46036
4300,0.47314,0.46182
4400,0.47794,0.4629
4500,0.47456,0.45944
4600,0.4852,0.46852
4700,0.47972,0.4617
4800,0.47842,0.4626
4900,0.47752,0.45942
5000,0.47762,0.4614
5100,0.47228,0.45934
5200,0.47208,0.45586
5300,0.47514,0.4613
5400,0.4719,0.45774
5500,0.46928,0.45428
5600,0.474,0.45956
5700,0.47408,0.45904
5800,0.4724,0.45756
5900,0.47,0.45518
6000,0.47282,0.45656
6100,0.46618,0.4531
6200,0.46844,0.45464
6300,0.47412,0.46104
6400,0.47662,0.4611
6500,0.47294,0.45742
6600,0.47318,0.45996
6700,0.47866,0.46114
6800,0.4746,0.46048
6900,0.47164,0.4578
7000,0.47118,0.4581
7100,0.46888,0.45754
7200,0.46918,0.4556
7300,0.4757,0.46074
7400,0.47186,0.45756
7500,0.47452,0.46134
7600,0.46616,0.45356
7700,0.47016,0.45652
7800,0.47368,0.45846
7900,0.47028,0.45674
8000,0.47078,0.45726
8100,0.47392,0.46048
8200,0.47412,0.46158
8300,0.47516,0.46228
8400,0.4676,0.45718
8500,0.47416,0.4592
8600,0.47316,0.45904
8700,0.46934,0.45772
8800,0.46706,0.4549
8900,0.47048,0.45912
9000,0.473,0.46042
9100,0.47634,0.46638
9200,0.4703,0.46028
9300,0.4733,0.46298
9400,0.4757,0.46578
9500,0.47468,0.46304
9600,0.47332,0.4596
9700,0.47828,0.46488
9800,0.47526,0.46416
9900,0.47526,0.46296
10000,0.47156,0.46076
10100,0.47714,0.46508
10200,0.4747,0.4634
10300,0.46862,0.45762
10400,0.47194,0.45996
10500,0.47608,0.46462
10600,0.4754,0.46382
10700,0.47124,0.45954
10800,0.469,0.45724
10900,0.4724,0.45692
11000,0.47854,0.46442
11100,0.47458,0.46014
11200,0.47664,0.461
11300,0.478,0.46482
11400,0.47718,0.46252
11500,0.47404,0.45932
11600,0.47286,0.45878
11700,0.47288,0.45866
11800,0.46974,0.45732
11900,0.47346,0.46076
12000,0.47844,0.4655
12100,0.47694,0.46374
12200,0.47556,0.46222
12300,0.48224,0.46708
12400,0.47918,0.46452
12500,0.48436,0.4689
12600,0.47588,0.46228
12700,0.47722,0.4649
12800,0.474,0.46212
12900,0.4725,0.46002
13000,0.47636,0.46226
13100,0.47468,0.4592
13200,0.4748,0.46038
13300,0.47266,0.4594
13400,0.47508,0.4621
13500,0.47284,0.46128
13600,0.4706,0.45998
13700,0.47344,0.45968
13800,0.48238,0.4686
13900,0.48012,0.4656
14000,0.48418,0.46744
14100,0.48,0.46496
14200,0.47648,0.46278
14300,0.4747,0.46142
14400,0.48198,0.46518
14500,0.48476,0.46652
14600,0.48208,0.4667
14700,0.47662,0.46094
14800,0.47926,0.46428
14900,0.47724,0.46276
15000,0.47852,0.465
15100,0.46994,0.45682
15200,0.47594,0.46312
15300,0.47488,0.46026
15400,0.47904,0.4651
15500,0.4779,0.46432
15600,0.48046,0.46568
15700,0.4775,0.46376
15800,0.4783,0.46372
15900,0.48342,0.4693
16000,0.47746,0.46392
16100,0.48168,0.46764
16200,0.47792,0.46488
16300,0.47816,0.4644
16400,0.4735,0.46042
16500,0.47804,0.46688
16600,0.47918,0.46588
16700,0.48484,0.47152
16800,0.47768,0.46434
16900,0.48118,0.46812
17000,0.48072,0.46714
17100,0.48292,0.46624
17200,0.4847,0.46906
17300,0.4798,0.46598
17400,0.48102,0.46754
17500,0.48096,0.46614
17600,0.48114,0.4661
17700,0.483,0.46824
17800,0.48228,0.46688
17900,0.4825,0.46846
18000,0.47986,0.46566
18100,0.48156,0.46564
18200,0.48222,0.46672
18300,0.47296,0.46214
18400,0.4792,0.4671
18500,0.48074,0.46782
18600,0.47812,0.46462
18700,0.47366,0.46028
18800,0.47796,0.46596
18900,0.47808,0.46622
19000,0.476,0.46506
19100,0.47724,0.46636
19200,0.48072,0.47016
19300,0.47774,0.46694
19400,0.47756,0.46732
19500,0.47344,0.46122
19600,0.4782,0.46784
19700,0.47936,0.4686
19800,0.479,0.46656
19900,0.47456,0.46274
20000,0.4757,0.46254
20100,0.47832,0.46534
20200,0.4778,0.466
20300,0.48152,0.46954
20400,0.48222,0.47044
20500,0.48274,0.46898
20600,0.47842,0.46536
20700,0.48202,0.4682
20800,0.48018,0.46724
20900,0.47978,0.46444
