episode,wining or draw rate,wining rate
0,0.45996,0.45996
100,0.44736,0.44162
200,0.43264,0.41992
300,0.4249,0.41174
400,0.43626,0.42382
500,0.43328,0.41682
600,0.44378,0.42564
700,0.43474,0.41612
800,0.44218,0.42514
900,0.44712,0.42926
1000,0.44376,0.4273
1100,0.44368,0.42546
1200,0.4479,0.433
1300,0.44888,0.43542
1400,0.44172,0.43094
1500,0.45656,0.44252
1600,0.45366,0.44038
1700,0.45274,0.43892
1800,0.45872,0.44632
1900,0.46394,0.4515
2000,0.46404,0.45198
2100,0.46512,0.45428
2200,0.45438,0.44318
2300,0.46106,0.44936
2400,0.4594,0.4467
2500,0.46116,0.4487
2600,0.45402,0.44238
2700,0.45762,0.44534
2800,0.45984,0.44714
2900,0.4658,0.4536
3000,0.46296,0.44994
3100,0.462,0.4485
3200,0.45876,0.44842
3300,0.45772,0.44746
3400,0.46242,0.45024
3500,0.46754,0.45826
3600,0.4683,0.45852
3700,0.46536,0.4557
3800,0.46828,0.45524
3900,0.47106,0.45808
4000,0.46928,0.45486
4100,0.47674,0.4614
4200,0.47036,0.45726
4300,0.46776,0.45154
4400,0.47084,0.45368
4500,0.46696,0.44998
4600,0.46316,0.44854
4700,0.46504,0.4517
4800,0.46394,0.44848
4900,0.46446,0.44832
5000,0.4712,0.4526
5100,0.47588,0.46074
5200,0.47452,0.4602
5300,0.47336,0.45672
5400,0.46974,0.45604
5500,0.47112,0.45386
5600,0.46974,0.45444
5700,0.47138,0.4556
5800,0.47366,0.4557
5900,0.46968,0.45366
6000,0.4715,0.45614
6100,0.4722,0.45512
6200,0.47904,0.46134
6300,0.47886,0.46254
6400,0.48144,0.46334
6500,0.48634,0.46798
6600,0.47512,0.45838
6700,0.47766,0.45934
6800,0.47816,0.46214
6900,0.47576,0.4592
7000,0.47528,0.45988
7100,0.47868,0.46272
7200,0.46992,0.45472
7300,0.47994,0.46472
7400,0.47834,0.46226
7500,0.48178,0.46386
7600,0.4773,0.45972
7700,0.47284,0.45524
7800,0.47086,0.45388
7900,0.47608,0.45948
8000,0.4793,0.4626
8100,0.47262,0.45688
8200,0.47628,0.46138
8300,0.47656,0.46136
8400,0.47516,0.45838
8500,0.4722,0.4548
8600,0.47656,0.46018
8700,0.47612,0.46212
8800,0.47352,0.45998
8900,0.4756,0.45942
9000,0.47098,0.4592
9100,0.47552,0.46226
9200,0.47688,0.46224
9300,0.47572,0.45936
9400,0.48,0.46666
9500,0.47642,0.46206
9600,0.4746,0.46
9700,0.47966,0.46124
9800,0.48422,0.46858
9900,0.4791,0.46186
10000,0.4781,0.46074
10100,0.48334,0.46428
10200,0.4719,0.4567
10300,0.48082,0.46588
10400,0.47632,0.46092
10500,0.47596,0.46156
10600,0.47678,0.46174
10700,0.48114,0.46594
10800,0.47516,0.45892
10900,0.47746,0.46176
11000,0.47718,0.46036
11100,0.47088,0.45316
11200,0.48148,0.4629
11300,0.47438,0.45712
11400,0.47546,0.4583
11500,0.47506,0.46218
11600,0.4841,0.46512
11700,0.47894,0.46188
11800,0.48298,0.46492
11900,0.47888,0.46002
12000,0.48076,0.46188
12100,0.48038,0.46054
12200,0.48114,0.46352
12300,0.47694,0.46042
12400,0.47966,0.46158
12500,0.47232,0.4568
12600,0.47536,0.45998
12700,0.47382,0.4587
12800,0.47274,0.45924
12900,0.47462,0.46092
13000,0.4758,0.46152
13100,0.4785,0.46328
13200,0.48324,0.46702
13300,0.47618,0.46054
13400,0.4788,0.463
13500,0.47652,0.46212
13600,0.47752,0.46196
13700,0.47696,0.46312
13800,0.4809,0.46688
13900,0.47894,0.4644
14000,0.48052,0.46372
14100,0.47876,0.4632
14200,0.47674,0.4604
14300,0.47896,0.46062
14400,0.48504,0.46642
14500,0.47584,0.45848
14600,0.47284,0.4557
14700,0.47866,0.46196
14800,0.48028,0.4632
14900,0.4778,0.46194
15000,0.47524,0.46152
15100,0.4786,0.4629
15200,0.47708,0.46258
15300,0.48428,0.4689
15400,0.48166,0.4667
15500,0.47778,0.46296
15600,0.48262,0.46866
15700,0.47554,0.4637
15800,0.48178,0.46908
15900,0.48096,0.46796
16000,0.4799,0.46868
16100,0.4821,0.46994
16200,0.47258,0.4615
16300,0.47816,0.46784
16400,0.47288,0.46072
16500,0.47488,0.46366
16600,0.47182,0.46034
16700,0.47566,0.46406
16800,0.4729,0.4596
16900,0.47934,0.46484
17000,0.48126,0.46702
17100,0.48158,0.46528
17200,0.48204,0.46442
17300,0.4796,0.46398
17400,0.48954,0.47118
17500,0.48172,0.46374
17600,0.48212,0.4668
17700,0.4769,0.46022
17800,0.47868,0.46232
17900,0.48276,0.46554
18000,0.47746,0.45896
18100,0.47976,0.4642
18200,0.48574,0.46864
18300,0.48142,0.4657
18400,0.48514,0.46976
18500,0.48172,0.46756
18600,0.48122,0.4663
18700,0.48034,0.46784
18800,0.47916,0.4642
18900,0.48494,0.46918
19000,0.48508,0.4691
19100,0.48408,0.46902
19200,0.48352,0.46732
19300,0.48662,0.46904
19400,0.4873,0.46644
19500,0.48512,0.46822
19600,0.48488,0.46734
19700,0.48596,0.47088
19800,0.48146,0.4687
19900,0.48104,0.4671
20000,0.47976,0.46552
20100,0.48404,0.4686
20200,0.48546,0.4692
20300,0.48646,0.47022
20400,0.48072,0.46614
20500,0.48726,0.46866
20600,0.48718,0.46822
20700,0.4794,0.46324
20800,0.48448,0.46752
20900,0.48534,0.46814
21000,0.48182,0.468
21100,0.48378,0.46864
21200,0.4845,0.46758
21300,0.4784,0.46364
21400,0.48478,0.46874
21500,0.4869,0.471
21600,0.48586,0.46964
21700,0.48626,0.47022
21800,0.48286,0.46796
21900,0.48694,0.47162
22000,0.48426,0.47198
22100,0.47928,0.46528
22200,0.4808,0.46772
22300,0.48092,0.46952
22400,0.48016,0.4659
22500,0.4846,0.47088
22600,0.48758,0.47146
22700,0.48206,0.467
22800,0.48316,0.46924
22900,0.48062,0.46524
23000,0.48464,0.47136
23100,0.4795,0.46564
23200,0.48138,0.4687
23300,0.48432,0.46938
23400,0.48132,0.4678
23500,0.48758,0.47282
23600,0.48352,0.4689
23700,0.48212,0.46646
23800,0.48356,0.46906
23900,0.48644,0.46892
24000,0.48494,0.46656
24100,0.47716,0.46142
24200,0.48118,0.46502
