episode,wining or draw rate,wining rate
0,0.463,0.463
100,0.43368,0.42912
200,0.44466,0.4338
300,0.44368,0.42844
400,0.44872,0.43364
500,0.43828,0.42186
600,0.42646,0.41226
700,0.41888,0.40402
800,0.43422,0.4177
900,0.43312,0.41732
1000,0.43642,0.42194
1100,0.43894,0.42796
1200,0.44676,0.4347
1300,0.44974,0.43362
1400,0.45306,0.44102
1500,0.46018,0.4454
1600,0.47012,0.45614
1700,0.4657,0.45044
1800,0.46876,0.45484
1900,0.46032,0.4481
2000,0.46412,0.45096
2100,0.46184,0.44762
2200,0.46766,0.45148
2300,0.45976,0.44674
2400,0.46884,0.45426
2500,0.46766,0.45228
2600,0.46684,0.45174
2700,0.46856,0.4529
2800,0.46628,0.45224
2900,0.46608,0.45188
3000,0.4658,0.4504
3100,0.46196,0.44834
3200,0.46744,0.45178
3300,0.46578,0.4529
3400,0.47088,0.45586
3500,0.4718,0.45788
3600,0.46584,0.45156
3700,0.47602,0.4612
3800,0.47466,0.45998
3900,0.4839,0.46688
4000,0.47836,0.46188
4100,0.47898,0.46496
4200,0.4762,0.46052
4300,0.48326,0.46928
4400,0.48184,0.46636
4500,0.47484,0.46052
4600,0.48016,0.46524
4700,0.47852,0.46406
4800,0.47106,0.45892
4900,0.4708,0.45976
5000,0.47542,0.46352
5100,0.47354,0.46298
5200,0.4737,0.46418
5300,0.47278,0.4607
5400,0.47132,0.46126
5500,0.47154,0.46004
5600,0.47732,0.46702
5700,0.47444,0.46352
5800,0.47476,0.4627
5900,0.47718,0.46502
6000,0.47552,0.46214
6100,0.47564,0.46338
6200,0.47334,0.46072
6300,0.4779,0.46574
6400,0.47412,0.46106
6500,0.47724,0.4624
6600,0.47976,0.46436
6700,0.47302,0.45706
6800,0.47548,0.46186
6900,0.47504,0.46194
7000,0.48038,0.46508
7100,0.47866,0.46182
7200,0.47784,0.464
7300,0.48176,0.46688
7400,0.4766,0.46456
7500,0.4746,0.46054
7600,0.47636,0.4638
7700,0.4752,0.46266
7800,0.4696,0.45786
7900,0.46818,0.45642
8000,0.46778,0.45708
8100,0.46648,0.45526
8200,0.47286,0.45996
