0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
0.494004,0.493739,0.496981,0.494418,0.491202,0.493484,0.492541,0.492043,0.490212,0.488723
0.497333,0.495821,0.496788,0.495866,0.49847,0.492886,0.496632,0.493145,0.492805,0.491083
0.497086,0.496396,0.496366,0.498465,0.496071,0.498245,0.49677,0.495502,0.495924,0.489673
0.498642,0.497758,0.49709,0.498447,0.49523,0.496508,0.49895,0.495061,0.497179,0.497403
0.49824,0.497104,0.498065,0.495586,0.493111,0.497695,0.494742,0.497583,0.498855,0.497563
0.49877,0.4975,0.497549,0.498824,0.498439,0.495202,0.496059,0.497235,0.49492,0.495593
0.496285,0.498983,0.496172,0.497268,0.49595,0.497331,0.495595,0.495895,0.496715,0.49433
0.495322,0.495424,0.493877,0.498667,0.496413,0.496322,0.494853,0.496727,0.495005,0.493136
0.495286,0.494143,0.498845,0.496763,0.498484,0.497702,0.497529,0.493722,0.496341,0.493293
0.496863,0.49236,0.497065,0.493014,0.495907,0.498069,0.494384,0.495619,0.497947,0.496313
